jurisdiction,district_number,district_name,total_party_votes,total_votes,fptp_winner,fptp_party,fptp_is_independent,rpv_winner,result_change,rpv_party
Quebec,24030,Hull–Aylmer,51106,51249,"Fergus, Greg",Liberal,False,"Fergus, Greg",False,Liberal
Ontario,35009,Brampton East,41351,41351,"Sidhu, Maninder",Liberal,False,"Sidhu, Maninder",False,Liberal
Quebec,24020,Beauport–Côte-de-Beaupré–Île d'Orléans–Charlevoix,49909,50136,"Desbiens, Caroline",Bloc Québécois,False,"Laprise, Véronique",True,Conservative
Quebec,24022,Chicoutimi–Le Fjord,42006,42006,"Martel, Richard",Conservative,False,"Martel, Richard",False,Conservative
Quebec,24069,Saint-Léonard–Saint-Michel,41814,41814,"Lattanzio, Patricia",Liberal,False,"Lattanzio, Patricia",False,Liberal
Ontario,35020,Don Valley North,40535,40535,"Dong, Han",Liberal,False,"Dong, Han",False,Liberal
Prince Edward Island,11003,Egmont,19561,19561,"Morrissey, Bobby",Liberal,False,"Clark, Alex",True,Green Party
Quebec,24019,Charlesbourg–Haute-Saint-Charles,57349,57349,"Paul-Hus, Pierre",Conservative,False,"Paul-Hus, Pierre",False,Conservative
Quebec,24031,Joliette,56198,56198,"Ste-Marie, Gabriel",Bloc Québécois,False,"Ste-Marie, Gabriel",False,Bloc Québécois
Quebec,24068,Saint-Laurent,37317,37317,"Lambropoulos, Emmanuella",Liberal,False,"Lambropoulos, Emmanuella",False,Liberal
Prince Edward Island,11002,Charlottetown,19100,19100,"Casey, Sean",Liberal,False,"Lanthier, Darcie",True,Green Party
Quebec,24049,Montarville,57472,57472,"Bergeron, Stéphane",Bloc Québécois,False,"Bergeron, Stéphane",False,Bloc Québécois
Prince Edward Island,11004,Malpeque,23707,23707,"MacDonald, Heath",Liberal,False,"Keenan, Anna",True,Green Party
Quebec,24067,Saint-Jean,59210,59210,"Normandin, Christine",Bloc Québécois,False,"Normandin, Christine",False,Bloc Québécois
Prince Edward Island,11001,Cardigan,22094,22094,"MacAulay, Lawrence",Liberal,False,"MacAulay, Lawrence",False,Liberal
Ontario,35014,Bruce–Grey–Owen Sound,57890,58414,"Ruff, Alex",Conservative,False,"Ruff, Alex",False,Conservative
Quebec,24066,Saint-Hyacinthe–Bagot,53031,53031,"Savard-Tremblay, Simon-Pierre",Bloc Québécois,False,"Savard-Tremblay, Simon-Pierre",False,Bloc Québécois
